,filename,category,set
0,clothes/clothes2132.jpg,clothes,1
1,battery/battery850.jpg,battery,1
2,metal/metal41.jpg,metal,1
3,cardboard/cardboard282.jpg,cardboard,1
4,cardboard/cardboard198.jpg,cardboard,1
5,paper/paper181.jpg,paper,1
6,shoes/shoes1715.jpg,shoes,1
7,battery/battery808.jpg,battery,1
8,clothes/clothes778.jpg,clothes,1
9,shoes/shoes171.jpg,shoes,1
10,metal/metal709.jpg,metal,1
11,shoes/shoes281.jpg,shoes,1
12,shoes/shoes1781.jpg,shoes,1
13,paper/paper1037.jpg,paper,1
14,clothes/clothes56.jpg,clothes,1
15,green-glass/green-glass424.jpg,green-glass,1
16,clothes/clothes332.jpg,clothes,1
17,metal/metal320.jpg,metal,1
18,biological/biological502.jpg,biological,1
19,clothes/clothes3784.jpg,clothes,1
20,shoes/shoes349.jpg,shoes,1
21,trash/trash600.jpg,trash,1
22,clothes/clothes1923.jpg,clothes,1
23,plastic/plastic500.jpg,plastic,1
24,trash/trash198.jpg,trash,1
25,metal/metal220.jpg,metal,1
26,trash/trash94.jpg,trash,1
27,clothes/clothes4570.jpg,clothes,1
28,battery/battery312.jpg,battery,1
29,shoes/shoes814.jpg,shoes,1
30,cardboard/cardboard256.jpg,cardboard,1
31,clothes/clothes2535.jpg,clothes,1
32,cardboard/cardboard756.jpg,cardboard,1
33,white-glass/white-glass772.jpg,white-glass,1
34,clothes/clothes3936.jpg,clothes,1
35,biological/biological906.jpg,biological,1
36,clothes/clothes5282.jpg,clothes,1
37,biological/biological922.jpg,biological,1
38,clothes/clothes299.jpg,clothes,1
39,trash/trash205.jpg,trash,1
40,shoes/shoes777.jpg,shoes,1
41,metal/metal229.jpg,metal,1
42,shoes/shoes786.jpg,shoes,1
43,clothes/clothes4658.jpg,clothes,1
44,biological/biological267.jpg,biological,1
45,trash/trash624.jpg,trash,1
46,trash/trash601.jpg,trash,1
47,metal/metal405.jpg,metal,1
48,brown-glass/brown-glass190.jpg,brown-glass,1
49,shoes/shoes604.jpg,shoes,1
50,clothes/clothes849.jpg,clothes,1
51,clothes/clothes3571.jpg,clothes,1
52,shoes/shoes1351.jpg,shoes,1
53,green-glass/green-glass390.jpg,green-glass,1
54,plastic/plastic357.jpg,plastic,1
55,battery/battery128.jpg,battery,1
56,cardboard/cardboard447.jpg,cardboard,1
57,shoes/shoes1868.jpg,shoes,1
58,trash/trash618.jpg,trash,1
59,biological/biological930.jpg,biological,1
60,clothes/clothes4922.jpg,clothes,1
61,clothes/clothes4335.jpg,clothes,1
62,trash/trash575.jpg,trash,1
63,cardboard/cardboard838.jpg,cardboard,1
64,clothes/clothes2856.jpg,clothes,1
65,clothes/clothes4037.jpg,clothes,1
66,plastic/plastic288.jpg,plastic,1
67,battery/battery607.jpg,battery,1
68,biological/biological490.jpg,biological,1
69,clothes/clothes3777.jpg,clothes,1
70,clothes/clothes934.jpg,clothes,1
71,paper/paper786.jpg,paper,1
72,green-glass/green-glass1.jpg,green-glass,1
73,metal/metal37.jpg,metal,1
74,paper/paper165.jpg,paper,1
75,white-glass/white-glass77.jpg,white-glass,1
76,plastic/plastic534.jpg,plastic,1
77,shoes/shoes1837.jpg,shoes,1
78,clothes/clothes5069.jpg,clothes,1
79,clothes/clothes3201.jpg,clothes,1
80,clothes/clothes4820.jpg,clothes,1
81,clothes/clothes4769.jpg,clothes,1
82,clothes/clothes5170.jpg,clothes,1
83,battery/battery97.jpg,battery,1
84,battery/battery192.jpg,battery,1
85,trash/trash638.jpg,trash,1
86,plastic/plastic629.jpg,plastic,1
87,metal/metal213.jpg,metal,1
88,shoes/shoes23.jpg,shoes,1
89,trash/trash631.jpg,trash,1
90,shoes/shoes339.jpg,shoes,1
91,white-glass/white-glass395.jpg,white-glass,1
92,shoes/shoes1787.jpg,shoes,1
93,shoes/shoes742.jpg,shoes,1
94,clothes/clothes3274.jpg,clothes,1
95,shoes/shoes1427.jpg,shoes,1
96,metal/metal279.jpg,metal,1
97,clothes/clothes3846.jpg,clothes,1
98,clothes/clothes2143.jpg,clothes,1
99,shoes/shoes1541.jpg,shoes,1
100,clothes/clothes4423.jpg,clothes,1
101,trash/trash202.jpg,trash,1
102,clothes/clothes3595.jpg,clothes,1
103,shoes/shoes90.jpg,shoes,1
104,battery/battery606.jpg,battery,1
105,plastic/plastic641.jpg,plastic,1
106,battery/battery87.jpg,battery,1
107,clothes/clothes314.jpg,clothes,1
108,clothes/clothes2047.jpg,clothes,1
109,paper/paper161.jpg,paper,1
110,plastic/plastic448.jpg,plastic,1
111,paper/paper80.jpg,paper,1
112,biological/biological348.jpg,biological,1
113,shoes/shoes621.jpg,shoes,1
114,plastic/plastic372.jpg,plastic,1
