,filename,category,set
0,metal/metal43.jpg,metal,1
1,paper/paper718.jpg,paper,1
2,clothes/clothes2107.jpg,clothes,1
3,biological/biological418.jpg,biological,1
4,clothes/clothes662.jpg,clothes,1
5,clothes/clothes1346.jpg,clothes,1
6,green-glass/green-glass351.jpg,green-glass,1
7,clothes/clothes2813.jpg,clothes,1
8,shoes/shoes1795.jpg,shoes,1
9,shoes/shoes84.jpg,shoes,1
10,white-glass/white-glass136.jpg,white-glass,1
11,clothes/clothes2248.jpg,clothes,1
12,shoes/shoes20.jpg,shoes,1
13,clothes/clothes1630.jpg,clothes,1
14,clothes/clothes1916.jpg,clothes,1
15,metal/metal645.jpg,metal,1
16,metal/metal584.jpg,metal,1
17,clothes/clothes858.jpg,clothes,1
18,brown-glass/brown-glass111.jpg,brown-glass,1
19,shoes/shoes104.jpg,shoes,1
20,paper/paper459.jpg,paper,1
21,plastic/plastic518.jpg,plastic,1
22,paper/paper490.jpg,paper,1
23,cardboard/cardboard369.jpg,cardboard,1
24,clothes/clothes2620.jpg,clothes,1
25,paper/paper434.jpg,paper,1
26,trash/trash81.jpg,trash,1
27,clothes/clothes3232.jpg,clothes,1
28,battery/battery150.jpg,battery,1
29,biological/biological544.jpg,biological,1
30,white-glass/white-glass252.jpg,white-glass,1
31,paper/paper923.jpg,paper,1
32,shoes/shoes669.jpg,shoes,1
33,clothes/clothes1768.jpg,clothes,1
34,trash/trash168.jpg,trash,1
35,brown-glass/brown-glass250.jpg,brown-glass,1
36,green-glass/green-glass40.jpg,green-glass,1
37,plastic/plastic153.jpg,plastic,1
38,clothes/clothes4009.jpg,clothes,1
39,cardboard/cardboard210.jpg,cardboard,1
40,clothes/clothes294.jpg,clothes,1
41,biological/biological139.jpg,biological,1
42,metal/metal545.jpg,metal,1
43,clothes/clothes4684.jpg,clothes,1
44,white-glass/white-glass447.jpg,white-glass,1
45,clothes/clothes1686.jpg,clothes,1
46,clothes/clothes5150.jpg,clothes,1
47,trash/trash371.jpg,trash,1
48,battery/battery787.jpg,battery,1
49,clothes/clothes4161.jpg,clothes,1
50,shoes/shoes1919.jpg,shoes,1
